id	name
2	Математика
3	Алгебра
15	Геометрия
16	Вектор
18	Условие коллинеарности
19	Скалярное произведение векторов
110	Машинное обучение
111	Математические основы машинного обучения
112	Операции с векторами
113	Методы интегрирования функций
114	Теорема Байеса
115	Корреляция
116	Описательные статистики
117	Проверка статистических гипотез
118	Алгоритмы машинного обучения
119	Метод ближайших соседей
120	Линейная регрессия
121	Логистическая регрессия
122	Цикл Гамильтона
126	Матрица смежности графа
131	Двудольные графы
137	Гиперграфы
139	Связность в графах
148	Обходы графов
150	Эйлеровы графы
154	Покрытие рёбер графа путями
157	Гамильтоновы графы
165	Раскраска графа
179	Кратчайшие пути в графах
188	Остовные деревья
201	Паросочетания
202	Алгоритм Форда-Фалкерсона
204	Теорема Холла
206	Паросочетания в недвудольных графах
209	Максимальный поток
229	Поток минимальной стоимости
232	Минимальные маршруты в связном графе
236	Алгоритмы на графах
237	Матрица
239	Обратная матрица
240	Элементарные преобразования матриц
241	Ранг матрицы
242	Системы линейных уравнений
245	Метод Гаусса
246	Однородные системы линейных уравнений
247	Фундаментальная система решений
248	Аппроксимация, интерполяция
249	Условие ортогональности
250	Векторное произведение векторов
253	Объем параллелепипеда
255	Аналитическая геометрия
256	Фильтер Калмана
257	Системы координат в пространстве
258	Преобразование координат
259	Линейные геометрические объекты
265	Поверхности второго порядка
267	Приведение уравнения поверхности второго порядка к канонической форме
268	Линейное пространство и квадратичные формы
269	Линейное пространство
270	Евклидово пространство
273	Математический анализ
274	Теория пределов
275	Множество
277	Операции над множествами
278	Функция одной вещественной переменной
279	Предел функции одной переменной
281	Вычисление пределов
282	Непрерывная функция
283	Исследование функции на непрерывность и разрыв
284	Дифференциальное исчисление функции одной переменной
285	Производная
286	Дифференциал функции одной переменной первого порядка
287	Дифференциал функции одной переменной высшего порядка
288	Правила дифференцирования функций
289	Свойства дифференцируемых функций на отрезке
290	Исследование функции
291	Дифференциальное исчисление функции нескольких переменных
292	Функция нескольких переменных
293	Дифференцирование
295	Интегрирование функции одной переменной
296	Неопределенный интеграл
297	Методы интегрирования
298	Интегрирование функций
