id	entity_name	domain_id
2	Математика	11
3	Алгебра	11
15	Геометрия	11
16	Вектор	11
18	Условие коллинеарности	11
19	Скалярное произведение векторов	11
110	Машинное обучение	14
111	Математические основы машинного обучения	14
112	Операции с векторами	11
113	Методы интегрирования функций	11
114	Теорема Байеса	11
115	Корреляция	11
116	Описательные статистики	11
117	Проверка статистических гипотез	11
118	Алгоритмы машинного обучения	14
119	Метод ближайших соседей	14
120	Линейная регрессия. Информационные технологии (IT).	14
121	Логистическая регрессия	14
122	Цикл Гамильтона	15
126	Матрица смежности графа	15
131	Двудольные графы	15
137	Гиперграфы	15
139	Связность в графах	15
148	Обходы графов	15
150	Эйлеровы графы	15
154	Покрытие рёбер графа путями	15
157	Гамильтоновы графы	15
165	Раскраска графа	15
179	Кратчайшие пути в графах	15
188	Остовные деревья	15
201	Паросочетания	15
202	Алгоритм Форда-Фалкерсона	15
204	Теорема Холла	15
206	Паросочетания в недвудольных графах	15
209	Максимальный поток	15
229	Поток минимальной стоимости	15
232	Минимальные маршруты в связном графе	15
236	Алгоритмы на графах	15
237	Матрица	11
239	Обратная матрица	17
240	Элементарные преобразования матриц	11
241	Ранг матрицы	11
242	Системы линейных уравнений	11
245	Метод Гаусса	11
246	Однородные системы линейных уравнений	11
247	Фундаментальная система решений	11
248	Аппроксимация, интерполяция	11
249	Условие ортогональности	11
250	Векторное произведение векторов	11
253	Объем параллелепипеда	11
255	Аналитическая геометрия	11
256	Фильтер Калмана	11
257	Системы координат в пространстве	11
258	Преобразование координат	11
259	Линейные геометрические объекты	11
265	Поверхности второго порядка	11
267	Приведение уравнения поверхности второго порядка к канонической форме	11
268	Линейное пространство и квадратичные формы	11
269	Линейное пространство	11
270	Евклидово пространство	11
273	Математический анализ	11
274	Теория пределов	11
275	Множество	11
277	Операции над множествами	11
278	Функция одной вещественной переменной	11
279	Предел функции одной переменной	11
281	Вычисление пределов	11
282	Непрерывная функция	11
283	Исследование функции на непрерывность и разрыв	11
284	Дифференциальное исчисление функции одной переменной	11
285	Производная	11
