DIS_CODE;SUBJECT;RESULT;AUTHOR;KEYWORDS;;;;;;;;;;;;;;;;;;;;;
06.0.0.10.20;История (Проблемы истории Европы ХХ века);0;Яна;Русская революция 1917 года, Гражданская война, Трактовки событий ХХ столетия, I мировая война, II мировая война;;;;;;;;;;;;;;;;;;;;;
06.0.0.11.20;История (Наука и техника в истории цивилизации);0;Даша;История науки, Техника в истории цивилизации, История технологий, Влияние технологий на человечество, Роль технологий в формировании цивилизаций, Роль технологий в развитии цивилизаций, Влияние технологий на эволюцию, Современная цивилизация, Научно-технический прогресс;;;;;;;;;;;;;;;;;;;;;
06.0.0.12.20;История (История западноевропейской и русской культуры);0;Яна;Культура Западной Европы, Формирование культур Западной Европы и России, Сходства и различия культур Западной Европы и России, Связи культур Западной Европы и России, Античность, Языческая Русь, История западноевропейской культуры, Русская культура, Культура в историческом контексте, Искусство в историческом контексте, Стратегии визуальной коммуникации, Межкультурная коммуникация;;;;;;;;;;;;;;;;;;;;;
06.0.0.13.20;История (Реформы и реформаторы в истории России);0;Яна;Исторические деятели, Реформы исторических деятелей, Реформы в истории России, Иван IV и опричнина, Петр I и его преобразования, Александр II и «Великие реформы», В.И. Ленин и НЭП, Сталин и модернизация страны, М.С. Горбачёв и перестройка;;;;;;;;;;;;;;;;;;;;;
06.0.0.14.20;История (Россия в истории современных международных отношений);0;Яна;Россия в постсоветскую эпоху, Проблемы современного международного развития, Перспективы современного международного развития, Международные отношения России, Реалии современного международного развития России, Роль России в мировом сообществе;;;;;;;;;;;;;;;;;;;;;
06.0.0.3.19;История становления Российской государственности;0;Яна;Становление государственных феноменов, Становление государственности, Государственная система, Взаимодействие российских государственных структур, Типы государственного устройства, Типы власти, Виды механизмов управления, Функционирование государственных структур России, Укрепление современного Российского государства, Перспективы развития России;;;;;;;;;;;;;;;;;;;;;
06.0.0.4.19;Проблемы истории Европы ХХ века;0;Яна;Русская революция 1917 года, Гражданская война, Трактовки событий ХХ столетия, I мировая война, II мировая война;;;;;;;;;;;;;;;;;;;;;
06.0.0.5.19;Наука и техника в истории цивилизации;0;Даша;История науки, Техника в истории цивилизации, История технологий, Влияние технологий на человечество, Роль технологий в формировании цивилизаций, Роль технологий в развитии цивилизаций, Влияние технологий на эволюцию, Современная цивилизация, Научно-технический прогресс;;;;;;;;;;;;;;;;;;;;;
06.0.0.6.19;История западноевропейской и русской культуры;0;Света;Культура Западной Европы, Формирование культур Западной Европы и России, Сходства и различия культур Западной Европы и России, Связи культур Западной Европы и России, Античность, Языческая Русь, История западноевропейской культуры, Русская культура, Культура в историческом контексте, Искусство в историческом контексте, Стратегии визуальной коммуникации, Межкультурная коммуникация;;;;;;;;;;;;;;;;;;;;;
06.0.0.7.19;Реформы и реформаторы в истории России;0;Яна;Исторические деятели, Реформы исторических деятелей, Реформы в истории России, Иван IV и опричнина, Петр I и его преобразования, Александр II и «Великие реформы», В.И. Ленин и НЭП, Сталин и модернизация страны, М.С. Горбачёв и перестройка;;;;;;;;;;;;;;;;;;;;;
06.0.0.8.19;Россия в истории современных международных отношений;0;Яна;Россия в постсоветскую эпоху, Проблемы современного международного развития, Перспективы современного международного развития, Международные отношения России, Реалии современного международного развития России, Роль России в мировом сообществе;;;;;;;;;;;;;;;;;;;;;
06.0.0.9.20;История (История становления Российской государственности);0;Филипп;Становление государственных феноменов, Становление государственности, Государственная система, Взаимодействие российских государственных структур, Типы государственного устройства, Типы власти, Виды механизмов управления, Функционирование государственных структур России, Укрепление современного Российского государства, Перспективы развития России;;;;;;;;;;;;;;;;;;;;;
06.0.12.10.18;Электродинамика сплошных сред;0;Максим;Электростатика проводников, Электростатика диэлектриков, Постоянный ток, Постоянное магнитное поле, Квазистационарное магнитное поле, Магнитная гидродинамика, Уравнения электромагнитных волн;;;;;;;;;;;;;;;;;;;;;
06.0.12.11.18;Биохимия клетки;0;Максим;Важнейшие достижения биохимии, Аминокислоты, Свойства белков, Функции белков, Ферменты, Нуклеиновые кислоты, Углеводы, Липиды, Витамины, Гормоны, Обмен углеводов, Обмен белков и аминокислот;;;;;;;;;;;;;;;;;;;;;
06.0.12.13.18;Основы научной деятельности;0;Максим;Международные наукометрические базы данных, Научное исследование, Методологические основы научного знания, Правовая охрана интеллектуальной собственности, Научный доклад, Заявка на грант, Принципы построения научного текста, Подготовка научного текста к публикации;;;;;;;;;;;;;;;;;;;;;
06.0.12.16.18;Общая психология;0;Максим;Психология как наука, Деятельностный подход в психологии, Строение индивидуальной деятельности человека, Социальная природа сознания, Психология мотивации, Психология эмоций, Индивидуальные особенности человека, Строение личности, Развитие личности, Теории восприятия, Теории мышления, Когнитивная психология;;;;;;;;;;;;;;;;;;;;;
06.0.12.17.19;Психология социальной адаптации и психосаморегуляция;0;Света;Специальные ассистивные средства обучения, Социально-психологической адаптации, Управление временем, Самопознание и самодиагностика, Самореализация и творчество, Мотивация и потребности, Стадии социализации личности, Показатели уверенного поведения, Публичное выступление, Способы саморегуляции, Стрессоустойчивость, Формирование групповой сплоченности;;;;;;;;;;;;;;;;;;;;;
06.0.12.18.19;Функциональный анализ;0;Филипп;Функциональные пространства, Непрерывность, Обратный оператор, Компактные операторы, Определение метрического пространства, Норма в линейном множестве, Банаховы пространства, Определение скалярного произведения, Определение Гильбертова пространства, Счетно-нормированные пространства, Непрерывный линейный функционал, Непрерывный линейный оператор, Продолжение линейного оператора по непрерывности, Полнота пространства;;;;;;;;;;;;;;;;;;;;;
06.0.12.19.19;Второй иностранный язык (шведский). Уровень A2;0;Максим;Шведский язык;;;;;;;;;;;;;;;;;;;;;
06.0.12.20.19;Второй иностранный язык (шведский). Уровень B1+;0;Максим;Шведский язык;;;;;;;;;;;;;;;;;;;;;
06.0.12.21.19;Второй иностранный язык (немецкий). Уровень A2;0;Максим;Немецкий язык;;;;;;;;;;;;;;;;;;;;;
06.0.12.22.19;Второй иностранный язык (немецкий). Уровень B1+;0;Максим;Немецкий язык;;;;;;;;;;;;;;;;;;;;;
06.0.12.23.19;Навигация по культуре Санкт-Петербурга;0;Света;Культурная столица России, Петербургский стиль, География Санкт-Петербурга, Топография Санкт-Петербурга, Топонимия Санкт-Петербурга, Петербург в контексте отечественной истории, Основные этапы развития Санкт-Петербурга, Историко-культурные образы Санкт-Петербурга, Официальная и неофициальная символика города на Неве, Легенды и мифы о происхождении Петербурга, Концептуальные образы Петербурга в современной российской и европейской культуре, Университет ИТМО в культурном контексте города, Петербург студенческий, Профессиональные и научные музеи, Исторические здания Университета ИТМО, Виртуальный Петербург, Современные культурные связи города, Доминирующие ценности Петербурга, Речевая культура Петербурга, Этикет и мода в Петербурге, Петербург многонациональный, Петербургский городской фольклор, Петербург многоконфессиональный, Храмы в Петербурге, Архитектура Петербурга, Street art, Научно-исследовательские музеи Санкт-Петербурга, Исторические музеи Санкт-Петербурга, Художественные музеи Санкт-Петербурга, Современные арт-пространства Петербурга, Театральное пространство города на Неве, Петербургская музыкальная культура, Общегородские и тематические праздники Петербурга, Сады и парки в природно-культурном пространстве Петербурга;;;;;;;;;;;;;;;;;;;;;
06.0.12.24.19;Военная подготовка (сержант запаса);0;Максим;Военная подготовка;;;;;;;;;;;;;;;;;;;;;
06.0.12.25.19;Военная подготовка (матрос запаса);0;Максим;Военная подготовка;;;;;;;;;;;;;;;;;;;;;
06.0.12.26.19;Военная подготовка (офицер запаса. Часть 1);0;Максим;Военная подготовка;;;;;;;;;;;;;;;;;;;;;
06.0.12.28.19;История дизайна;0;Света;История материальной культуры, Развитие промышленного производства, Возникновение промышленного дизайна, Международные промышленные выставки, Материальная культура человечества, Национальные школы архитектуры и дизайна, Модернизм в промышленном дизайне;;;;;;;;;;;;;;;;;;;;;
06.0.12.29.19;Основы веб-вёрстки;0;Максим;HTML, CSS, Подготовка к вёрстке, Веб-типографика, DOM, Отзывчивая веб-вёрстки, JavaScript, Вёрстка лендинга, Подготовка сайта к публикации;;;;;;;;;;;;;;;;;;;;;
06.0.12.3.18;Второй иностранный язык (немецкий). Уровень А2;0;Максим;Немецкий язык;;;;;;;;;;;;;;;;;;;;;
06.0.12.30.19;Компьютерные технологии мультипликации;0;Филипп;3D-моделирование объектов, Построение композиции 3D-сцены, Моделирование окружения 3D-сцены, Разработка архитектурной презентации в 3D, 3D-моделирование персонажа, Анимация персонажа в 3D;;;;;;;;;;;;;;;;;;;;;
06.0.12.33.19;Платформы интернета вещей;0;Филипп;Распределённые вычислительные системы, Распределённые системы интернета вещей, Аппаратные платформы интернета вещей, Типовая структура устройства интернета вещей, Микроконтроллеры, Системы на кристалле, Платформы промышленного интернета вещей, Стандарт IEC 61131, Стандарт IEC 61499, Сетевая инфраструктура интернета вещей, Сетевые интерфейсы интернета вещей;;;;;;;;;;;;;;;;;;;;;
06.0.12.34.19;Языки и инструменты моделирования программных систем;0;Филипп;Назначение UML, Элементы модели: сущности и отношения, Канонические диаграммы, Моделирование использования, Моделирование структуры, Диаграмма классов, Диаграмма компонентов, Диаграмма размещения, Моделирование поведения, Диаграмма состояний, Диаграмма деятельности, Диаграммы взаимодействия, Диаграмма последовательности, Диаграммы коммуникации, Моделирование параллелизма, Типовые подходы к проектированию, Влияние UML на процесс разработки;;;;;;;;;;;;;;;;;;;;;
06.0.12.35.19;Математические основы криптологии;0;Максим;Операции над множествами, Бинарные отношения на множестве, Алгебраические структуры, Криптография, Формальные модели шифров, Математические модели открытого текста, Математическая модель шифра простой замены;;;;;;;;;;;;;;;;;;;;;
06.0.12.37.19;Лазерные технологии;0;Филипп;Лазеры, Лазерное технологическое оборудование, Применение лазерных технологических систем, Лазерные технологические системы, Лазерное технологическое оборудование, Процессы лазерной обработки материалов;;;;;;;;;;;;;;;;;;;;;
06.0.12.38.19;Системы автоматизированного проектирования;0;Максим;Принципы построения САПР, Автоматизация проектирования технологических процессов, Уровни автоматизации, Оптимизация процессов, Оптимизация технологических операций, Выбор технологического оснащения, Автоматизированное проектирование переходов, Автоматизация процесса управления, Технология «workflow», Адаптивные свойства САПР;;;;;;;;;;;;;;;;;;;;;
06.0.12.39.19;Современные проблемы фотоники и оптоинформатики;0;Максим;Оптические вычисления, Методы построения оптического компьютера, Квантовая информация, Квантовые алгоритмы, Квантовые вычисления, Квантовые компьютеры, Наноразмерные объекты, Плазмонные наночастицы, Оптическое излучение, Наноструктуры, Метаматериалы;;;;;;;;;;;;;;;;;;;;;
06.0.12.4.18;Основы 3D-моделирования;0;Света;3D-моделирование объектов, Построение композиции 3D-сцены, Моделирование окружения 3D-сцены, Разработка архитектурной презентации в 3D, 3D-моделирование персонажа, Анимация персонажа в 3D;;;;;;;;;;;;;;;;;;;;;
06.0.12.45.19;Численные методы;0;Света;Погрешности, Численное решение нелинейных алгебраических уравнений, Простейшие методы решения НАУ, Прямые методы решения систем линейных алгебраических уравнений, Методы Гаусса, Итерационные методы решения систем линейных алгебраических уравнений, Метод простых итераций, Методы спуска решения систем линейных алгебраических уравнений, Метод покоординатного спуска, Метод наискорейшего спуска, Метод сопряженных направлений, Построение разностных схем, Анализ устойчивости разностных схем, Разностные методы решения уравнений, Численное решение уравнений Навье-Стокса;;;;;;;;;;;;;;;;;;;;;
06.0.12.46.19;Электроника;0;Максим;Ток, Напряжение, Сопротивление, Резисторы, Электрическая мощность, Полупроводниковые диоды, Полупроводниковые транзисторы, Датчики температуры, Микросхемы стандартной логики, Микроконтроллеры, Микропроцессоры, Передача информации по цифровым шинам;;;;;;;;;;;;;;;;;;;;;
06.0.12.49.19;Ферменты и БАВ;0;Максим;Биологически активные вещества (БАВ), Классификация биологически активных веществ, Структура биологически активных веществ, Синтез Классификация биологически активных веществ, Теоретические основы оснащения биопроизводств, Расчет основных технологических показателей биосинтеза биологически активных веществ, Схема производственного биотехнологического процесса, Классификация биосинтеза по типу ферментации, Виды процессов биосинтеза;;;;;;;;;;;;;;;;;;;;;
06.0.12.5.18;Проектная деятельность;0;Света;Документооборот, Характеристики документооборота, Требования к проектной документации, Документирование разработки программного обеспечения, Структура элементов документации на программные средства, Документирование в соответствии со стандартами, Формирование требований к ИС, Проектирование системной архитектуры, Методики описания системной архитектуры, Процессы проектирования, Архитектурные стили проектирования, Проектирование программной архитектуры;;;;;;;;;;;;;;;;;;;;;
06.0.12.51.19;Жизненная навигация;0;Филипп;Смысловая навигация личности, Сферы жизнедеятельности личности, Гармонизации развития личности, Жизненные стратегии и цели, Ресурсная навигация личности, Организационная навигация, Сценарно-ролевая навигация, Профессиональная навигация, Модель эффективного дня, Волевая навигация, Интегральная карта жизненного пути;;;;;;;;;;;;;;;;;;;;;
06.0.12.52.19;Основы профессиональной деятельности инноватора;0;Филипп;Инновации в современной экономике, Обеспечение конкурентоспособности предприятия, Специфика управления инновациями, Содержание профессии инноватора, Профессиональная мотивация инноватора, Личностная мотивация инноватора, Профессиональная самореализация инноватора, Карьера инноватора, Самомаркетинг инноватора;;;;;;;;;;;;;;;;;;;;;
06.0.12.53.19;Петербурговедение;0;Яна;Культурная столица России, Петербургский стиль, География Санкт-Петербурга, Топография Санкт-Петербурга, Топонимия Санкт-Петербурга, Петербург в контексте отечественной истории, Основные этапы развития Санкт-Петербурга, Историко-культурные образы Санкт-Петербурга, Официальная и неофициальная символика города на Неве, Легенды и мифы о происхождении Петербурга, Концептуальные образы Петербурга в современной российской и европейской культуре, Университет ИТМО в культурном контексте города, Петербург студенческий, Профессиональные и научные музеи, Исторические здания Университета ИТМО, Виртуальный Петербург, Современные культурные связи города, Доминирующие ценности Петербурга, Речевая культура Петербурга, Этикет и мода в Петербурге, Петербург многонациональный, Петербургский городской фольклор, Петербург многоконфессиональный, Храмы в Петербурге, Архитектура Петербурга, Street art, Научно-исследовательские музеи Санкт-Петербурга, Исторические музеи Санкт-Петербурга, Художественные музеи Санкт-Петербурга, Современные арт-пространства Петербурга, Театральное пространство города на Неве, Петербургская музыкальная культура, Общегородские и тематические праздники Петербурга, Сады и парки в природно-культурном пространстве Петербурга;;;;;;;;;;;;;;;;;;;;;
06.0.12.54.19;Технологии информационного поиска;0;Даша;Информационный поиск, Инвертированный индекс, Фразовые запросы, Стемминг, Лемматизация, Нормализация терминов, Закон Ципфа, Морфологический анализ русского языка, Закон Хипса, Методы информационного поиска, Ранжирование результатов поиска, Алгоритм PageRank, Вероятностная модель информационного поиска, Оценка информационного поиска, Релевантность, Метрики качества информационного поиска;;;;;;;;;;;;;;;;;;;;;
06.0.12.55.19;Основы финансовой грамотности;0;Максим;Банковская система, Налоговая система, Финансовые риски, Финансовая безопасность, Кредитование, Страхование, Фондовый рынок, Валютный рынок, Пенсионная система, Правовые аспекты ведения бизнеса, Предпринимательские риски, Налогооблажение предприятий;;;;;;;;;;;;;;;;;;;;;
06.0.12.56.20;Проектная работа в инфокоммуникациях;0;Максим;Документооборот, Характеристики документооборота, Требования к проектной документации, Документирование разработки программного обеспечения, Структура элементов документации на программные средства, Документирование в соответствии со стандартами, Формирование требований к ИС, Проектирование системной архитектуры, Методики описания системной архитектуры, Процессы проектирования, Архитектурные стили проектирования, Проектирование программной архитектуры;;;;;;;;;;;;;;;;;;;;;
06.0.12.57.20;Архитектура вычислительных систем;0;Света;Этапы развития автоматизированных вычислений, Развитие программных средств, Первые вычислительные системы, Классическая Принстонская архитектура, Архитектура фон Неймана, Гарвардская архитектура, Многоядерность, Закон Релэя, Кеширование, Архитектура суперкомпьютеров, Классификация вычислительных систем, Уровни параллелизации при вычислениях, Уровни управления процессом вычислений, Архитектура современных микропроцессоров, Конвейерность, Стековая машина, Уровень языков сверхвысокого/высокого уровня, Уровень машинных команд, Уровень микрокоманд, Потоковые (Data-Flow) вычислители, Язык программирования Ассемблер, Организация аппаратного стека, Архитектура параллельных вычислительных систем, Абстрактные модели параллельных вычислений, Нейрокомпьютеры, Интерактивные среды разработки, Метакомпьютинг и концепция GRID, Современные системы анализа и поиска данных, Архитектура GPU, Применение GPU при супервычислениях, Программируемые логические интегральные схемы (ПЛИС), Реализация одноуровневой памяти, Квантовые вычислители, Системы передачи данных;;;;;;;;;;;;;;;;;;;;;
06.0.12.59.20;Биохимия клетки;0;Максим;Важнейшие достижения биохимии, Аминокислоты, Свойства белков, Функции белков, Ферменты, Нуклеиновые кислоты, Углеводы, Липиды, Витамины, Гормоны, Обмен углеводов, Обмен белков и аминокислот;;;;;;;;;;;;;;;;;;;;;
06.0.12.9.18;Биоинформатика;0;Яна;РНК-секвенирование, Анализ экспрессии генов, Метилирование, Секвенирование одиночных клеток, Транскрипционная регуляция, Эпигенетическая регуляция, Метаболическая регуляция;;;;;;;;;;;;;;;;;;;;;
06.0.4.0.18;Психология предпринимательства;0;Филипп;Управление успешностью, Менталитет роста, Конструктивные персональные проекты саморазвития, Планы карьеры, Желания и базовые потребности, Самодетерминация и возможность улучшать свою жизнь, Моделирование развития, Предпринимательские возможности студента в Университете ИТМО, Профессиональное мышление и деятельность предпринимателя, Конструктивное сотрудничество, Профессиональная этика и ответственность;;;;;;;;;;;;;;;;;;;;;
06.0.4.1.18;Инновационная экономика и технологическое предпринимательство;0;Яна;Инновационная экономика, Технологическое предпринимательство, Концепция бизнеса, Работа с проектами, Бизнес-модели основных секторов инновационной экономики, Секторы инновационной экономики;;;;;;;;;;;;;;;;;;;;;
06.0.4.2.19;Бизнес-модели основных секторов инновационной экономики;0;Яна;Бизнес-модели, Сектор ИКТ, Секторы инновационной экономики, Life Science, Транспорт, Cleantech, Agritech;;;;;;;;;;;;;;;;;;;;;
06.0.5.1.18;Эффективное лидерство, управление конфликтом и командообразование;0;Яна;Эффективная команда, Командная работа, Значимость командной работы в современном мире, Виды и функции команд, Эмоциональный интеллект, Ведение переговоров, Лидерство, Мотивация, Модели коммуникации, Управление конфликтами, Работа с манипуляторами;;;;;;;;;;;;;;;;;;;;;
06.0.5.10.18;Разработка социальных программ и проектов;0;Света;Особенности социального проекта, Ошибки социального проектирования, Выявление актуальных социальных проблем, Инициирование социального проекта, Целевая аудитория социального проекта, Ресурсообеспечение социального проекта, Планирование социального проекта, Источники финансирования социального проекта, Партнерское сотрудничество, Реализация социального проекта;;;;;;;;;;;;;;;;;;;;;
06.0.5.11.18;Организация массовых мероприятий;0;Даша;Спортивные и культурно-творческие массовые мероприятия, Этапы жизненного цикла массового мероприятия, Специфика видов мероприятий, Руководитель проекта: ответственность и полномочия, Формирование команды и эффективные совещания, Концепция массового мероприятия, Подготовка массового мероприятия, Планирование массового мероприятия, Риски мероприятия и методы реагирования, Документальное сопровождение, Ресурсное обеспечение массового мероприятия, Особенности финансирования массовых мероприятий, Привлечение ресурсов, Фандрайзинг, Краудфандинг, Грантовая поддержка, Реализация мероприятия, Визуальная концепция мероприятия и его медиа сопровождение, Медиаплан, Продвижение массового мероприятия, Взаимодействие с подрядчиками: согласование характеристик товаров/услуг, Техническое оснащение проекта, Работа на внешних площадках, Внешняя экспертиза массового мероприятия, Оценка эффективности мероприятия;;;;;;;;;;;;;;;;;;;;;
06.0.5.12.18;Создание и развитие студенческого клуба;0;Даша;Возможности студента в современном вузе, История развития студенчества в РФ и Университете ИТМО, Возможности личностного роста в рамках Университета ИТМО, Регистрация клуба, Идеология клуба, Миссия клуба, Символика и фирменный стиль клуба, Позиционирование клуба в вузе, Деятельность клуба, Проведение мероприятий в рамках деятельности клуба, Привлечение новых членов клуба, Система повышения мотивации внутри клуба, Клубный менеджмент, PR деятельность клуба;;;;;;;;;;;;;;;;;;;;;
06.0.5.13.18;Лаборатория академического письма;0;Яна;Эффективная коммуникация в академическом сообществе, Научный стиль, Документы научного стиля, Научная статья, Научный доклад, Реферат, Аннотация, Рецензия, Заявка на грант, Принципы построения научного текста, Подготовка научного текста к публикации, Структура и логика научного текста, Работа над различными элементами научного текста, Библиография, Цитирование, Плагиат, Академическая презентация, Эффективные техники проведения презентации, Развитие навыков отбора и систематизации информации;;;;;;;;;;;;;;;;;;;;;
06.0.5.14.18;Управление карьерой;0;Максим;Смысловая навигация личности, Сферы жизнедеятельности личности, Гармонизации развития личности, Жизненные стратегии и цели, Ресурсная навигация личности, Организационная навигация, Сценарно-ролевая навигация, Профессиональная навигация, Модель эффективного дня, Волевая навигация, Интегральная карта жизненного пути;;;;;;;;;;;;;;;;;;;;;
