DIS_CODE;SUBJECT;RESULT;AUTHOR;KEYWORDS;
06.0.12.13.18;Основы научной деятельности;0;Максим;Международные наукометрические базы данных, Научное исследование, Методологические основы научного знания, Правовая охрана интеллектуальной собственности, Научный доклад, Заявка на грант, Принципы построения научного текста, Подготовка научного текста к публикации,;
06.0.12.39.19;Современные проблемы фотоники и оптоинформатики;0;Максим;Оптические вычисления, Методы построения оптического компьютера, Квантовая информация, Квантовые алгоритмы, Квантовые вычисления, Квантовые компьютеры, Наноразмерные объекты, Плазмонные наночастицы, Оптическое излучение, Наноструктуры, Метаматериалы;
06.1.6.130.18;Технологическое оборудование предприятий мясной промышленности;0;Максим;Фонд нормативных документов мясной промышленности, Информационное обеспечение состояния нормативной базы, Контроль соблюдения безопасности сырья, Контроль соблюдения безопасности мясной продукции, Агрегаты для посола мяса, Многоигольчатые шприцы, Схемы тумблеров на мясокомбинатах;
06.1.6.131.18;Вакуумные технологии в пищевых производствах;0;Максим;Режимы течения газа, Проводимость, Применение вакуума в криогенной технике, Вакуумные системы, Вакуумметрия, Вакуумные насосы, Вакуумная ректификация, Вакуумная дистилляция, Сублимационная сушка;
06.1.6.132.18;Рациональное использование ресурсов мясного сырья;0;Максим;Промышленная переработка ресурсов мясного сырья, Рациональное использование вторичного сырья мясной отрасли, Технологии переработки отходов, Ресурсосберегающие технологии, Экологически безопасные продукты на основе ресурсов мясного сырья;
06.1.6.133.18;Методы исследования состава и свойств мясных продуктов;0;Максим;Анализ химических компонентов продуктов животного происхождения, Свойства продуктов животного происхождения, Пищевая ценность, Качество продуктов животного происхождения, Контаминанты сырья, Определение токсичных элементов;
06.1.6.134.18;Системы менеджмента качества на мясоперерабатывающих предприятиях;0;Максим;Управление качеством пищевой продукции, Управление безопасностью пищевой продукции, Мясоперерабатывающие предприятия, Система ХАССП, Система ИСО 9000, Система ИСО 22000;
06.1.6.135.18;Методология разработки нормативно-технической документации на мясоперерабатывающих предприятиях;0;Максим;Нормативная и техническая документация мясной отрасли, Требования к разработке и оформлению Технических условий, Требования к разработке и оформлению Технологических инструкций на пищевую продукцию, ГОСТ Р 51740, Функциональные пищевые продукты;
06.1.6.136.18;Проектирование предприятий мясной отрасли;0;Максим;Проектирование промышленных предприятий, Технологическое проектирование пищевых предприятий, Классификация производственных зданий, Проектирование холодильных предприятий мясной отрасли, Планировочные решения холодильников, Проектирование перерабатывающих предприятий мясной отрасли, Планировочное решения проектируемого производства;
06.1.6.137.18;Стартовые культуры и закваски в мясных технологиях;0;Максим;Исследование биохимической активности молочнокислых бактерий и бифидобактерий, Технология производства заквасок, Способы повышения потребительских свойств колбасных изделий, Стартовые культуры как фактор формирования качества колбас, Применение стартовых культур в производстве мясопродуктов, Технология производства мясопродуктов, Свойства бифидобактерий, Колбасное производство;
