DIS_CODE;SUBJECT;RESULT;AUTHOR;KEYWORDS;;;;;;;;;;;;;;;;;;;;;
07.0.9.10.20;Методы исследования бизнес-информационных систем (часть 1) / Research Methods of Business Information Systems (part 1);0;Настя;Научное знание, Информационные системы бизнеса, Теоретическое исследование, Автоматизация бизнес-процессов, Бизнес-процесс, Моделирование бизнес-процессов, Информационная система, Анализ ИС;;;;;;;;;;;;;;;;;;;;;
07.0.9.9.20;Философская антролопология и социальная философия / Philosophical Anthropology and Social Philosophy;0;Настя;Общество, Философский анализ, Философский образ человека, Научно-технический прогресс, Современное общество;;;;;;;;;;;;;;;;;;;;;
07.6.4.3.20;Сервисно-ориентированные интеллектуальные системы (часть 2) / Service-oriented Intelligent Systems (part 2);0;Настя;Интеллектуальные информационные системы, Интеллектуальные прогрстранства, Экспертные системы, Онтологии, Теория коэффициентов уверенности, Интеллектуальные системы;;;;;;;;;;;;;;;;;;;;;
07.6.5.5.20;Управление информационными технологиями на предприятии / Enterprise IT management;0;Настя;Зрелость процесса, ITIL, ITSM, COBIT, SLA, ИТ-сервисы, ИТ-инфраструктура предприятия, Аудит ИТ-инфраструктуры, Управление ИТ-инфраструктурой, Облачные технологии, Имитационные эксперименты, Свободное программное обеспечение;;;;;;;;;;;;;;;;;;;;;
07.6.5.6.20;Интегрированный электронный бизнес / Integrated Electronic Business;0;Настя;Электронный бизнес, Системы электронной коммерции, Электронные транзакции, Бизнес-процесс, Телекоммуникации, Предприятия электронной коммерции, Управление персоналом, Стратегии управления бизнес-процессами, Интеграция традиционного и электронного бизнеса ;;;;;;;;;;;;;;;;;;;;;
07.6.6.12.20;Средства моделирования предприятия / Enterprise Modelling Applications;0;Настя;Методология IDEF, IDEF0, IDEF3, Методолгия ARIS, eEPC-диаграмма, Методология BPMN, Бизнес-процесс, Имитационное моделирование, Корпоративные системы предприятий, Верификация моделей бизнес-процессов, Визуализация моделей бизнес-процессов;;;;;;;;;;;;;;;;;;;;;
07.6.6.14.20;Современные проблемы информационных систем бизнеса / Contemporary Subjects in Business Information Systems;0;Настя;Бизнес-процесс, Реинжиниринг бизнес-процессов, Информационные системы, Управление персоналом, Оценка рисков, Инвестиции, Управление производительностью ИС бизнеса, Защита данных, Адаптируемость ИС, Хранение данных, Обработка данных;;;;;;;;;;;;;;;;;;;;;
07.6.6.15.20;Методы исследования бизнес-информационных систем / Research Methods of Business Information Systems;0;Настя;Информационные системы, Научное знание, Системы автоматизации управления, Учетные системы, Системы управления ресурсами, Системы управления бизнесом, Корпоративные ИС, Жизненный цикл ИС;;;;;;;;;;;;;;;;;;;;;
07.6.6.19.20;Информационный менеджмент в туризме / Tourism Information Management;0;Настя;Туристическая отрасль, Туристические организации, Бизнес-процесс, Процессы управления, Информационные процессы, Информационные системы, ИТ в туристическом бизнесе;;;;;;;;;;;;;;;;;;;;;
07.6.8.8.20;Сервисно-ориентированные интеллектуальные системы (часть 1) / Service-oriented Intelligent Systems (part 1);0;Настя;Искусственный интеллект, Интеллектуальные системы, Интеллектуальный анализ данных, Визуализация данных, Модели представления знаний, Семантические модели, Регрессионный анализ, Классификация, Деревья решений, Нейронные сети, Байесовские сети доверия, Кластерный анализ, Экспертные системы;;;;;;;;;;;;;;;;;;;;;
07.6.9.2.20;Управление знаниями / Knowledge Management;0;Настя;Циклы управления знаниями, Интеллектуальные агенты, Методы представления знаний, Онтологии, RDF, OWL, Язык SPARQL, Язык SWRL, Интеллектуальные пространства, Платформа Smart-M3, Система поддержки принятия решений;;;;;;;;;;;;;;;;;;;;;
07.6.9.3.20;Управление и представление знаний / Knowledge Management amd Representation;0;Настя;Управление знаниями, Процессы управления предприятием, Ситуативное управление, Корпоративное знание, Модели представления знаний, Жизненный цик управления знаниями, Многоагентные системы, Онтологии, Извлечение знаний, OWL, RDF, Интеллектуальные платформы, Интеллектуальные пространства, Хранение данных;;;;;;;;;;;;;;;;;;;;;
07.6.9.0.20;Введение в науку о городах;0;Настя;Городские территории, Градостроительство, Социологические исследования, Проблемы городской среды, Городская агломерация, Функциональное зонирование, Миграция, Транспортные системы, Городская застройка, Социальная инфраструктура, Компактный город, Digital Humanities, Городская среда;;;;;;;;;;;;;;;;;;;;;
07.6.9.1.20;Геоинформатика и геоинформационные системы;0;Настя;Геоинформационные системы, ГИС, Карты, QGIS Desktop, Картографические проекции, Отображение пространственных данных, Диаграмма Воронова, Тепловая карта, Моделирование графических данных, Векторные данные, Веб-карты, Трехмерные карты;;;;;;;;;;;;;;;;;;;;;
