ОП;ИД ОП;Название индикатора;ИД индикатора;Название компетенции;ИД компетенции;Название группы компетенций;Тип компетенции;Профессиональный стандарт;Сфера;ИД РПД;ИД РПД;ИД РПД
2018 Информатика и программирование;2308;ПК-1.1. Способен осуществлять формализацию и алгоритмизацию поставленных задач.;;ПК-1. Способен создавать, отлаживать и оформлять программный код;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2308;ПК-1.2. Способен создавать программный код с использованием языков программирования, определения и манипулирования данными.;;ПК-1. Способен создавать, отлаживать и оформлять программный код;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2308;ПК-1.3. Способен работать с системой контроля версий, оформлять в соответствии с требованиями, проверять и отлаживать программный код.;;ПК-1. Способен создавать, отлаживать и оформлять программный код;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2308;ПК-2.1. Способен разрабатывать тестовые наборы данных.;;ПК-2. Способен осуществлять интеграцию программных модулей и компонент и проверку работоспособности кода программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2308;ПК-2.2. Способен проверять работоспособность программного обеспечения;;ПК-2. Способен осуществлять интеграцию программных модулей и компонент и проверку работоспособности кода программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2308;ПК-2.3. Способен осуществлять интеграцию программных модулей и компонент и верификацию выпусков программного продукта;;ПК-2. Способен осуществлять интеграцию программных модулей и компонент и проверку работоспособности кода программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2308;ПК-3.1. Способен определять перечень возможных механизмов авторизации, аутентификации и поддержки сеанса.;;ПК-3. Способен обеспечивать заданный уровень производительности, надежности и безопасности при создании вариантов архитектуры программного средства;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-3.2. Способен определять спецификации безопасности, включая те спецификации, которые относятся к методам функционирования и сопровождения, влиянию окружающей среды и ущербу для персонала, создавать спецификации по защите, включая спецификации, связанные с угрозами для чувствительной информации.;;ПК-3. Способен обеспечивать заданный уровень производительности, надежности и безопасности при создании вариантов архитектуры программного средства;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-3.3. Способен определять перечень возможных моделей обеспечения отказоустойчивости программных компонентов, осуществлять проектную оценку надежности компонентов программного средства.;;ПК-3. Способен обеспечивать заданный уровень производительности, надежности и безопасности при создании вариантов архитектуры программного средства;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-3.4. Способен определять перечень возможных технологий доступа к данным, выбирать протоколы взаимодействия компонентов, определять алгоритмы компонентов, включая методы и схемы;;ПК-3. Способен обеспечивать заданный уровень производительности, надежности и безопасности при создании вариантов архитектуры программного средства;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-3.5. Способен осуществлять оценку и выбор стиля написания кода, моделей управления исключениями,  управления и мониторинга критически важных событий ;;ПК-3. Способен обеспечивать заданный уровень производительности, надежности и безопасности при создании вариантов архитектуры программного средства;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-4.1. Способен анализировать качество кода.;;ПК-4. Способен реализовывать программные средства;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-4.2. Способен проводить испытания программного средства и его компонентов;;ПК-4. Способен реализовывать программные средства;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-5.1. Способен формировать требования к операционной системе;;ПК-5. Способен участвовать в разработке операционной системы;;Профессиональные компетенции;Профессиональные компетенции;06.028 Системный программист;;;;
;2308;ПК-6.1. Способен осуществлять кодирование на языках программирования.;;ПК-6. Способен выполнять работы по созданию и сопровождению информационных систем;;Профессиональные компетенции;Профессиональные компетенции;06.015 Специалист по информационным системам;;;;
;2308;ПК-6.2. Способен осуществлять установку и настройку системного и прикладного ПО, необходимого для функционирования ИС;;ПК-6. Способен выполнять работы по созданию и сопровождению информационных систем;;Профессиональные компетенции;Профессиональные компетенции;06.015 Специалист по информационным системам;;;;
;2308;ПК-6.3. Способен осуществлять настройку оборудования, необходимого для работы ИС;;ПК-6. Способен выполнять работы по созданию и сопровождению информационных систем;;Профессиональные компетенции;Профессиональные компетенции;06.015 Специалист по информационным системам;;;;
;2308;ПК-7.1. Способен определять перечни возможных типов, слоев и шаблонов проектирования программных компонентов;;ПК-7. Способен создавать и оценивать варианты архитектуры программного средства и осуществлять выбор среди них;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-7.2. Способен определять качественные характеристик и осуществлять выбор типа и слоев программных компонентов;;ПК-7. Способен создавать и оценивать варианты архитектуры программного средства и осуществлять выбор среди них;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-С1.1.1. Описание алгоритмов компонентов, включая методы и схемы;;ПК-С1.1. Разработка и реализация архитектуры программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-С1.1.2. Описание технологии обработки данных для возможности их использования в программном средстве, включая вопросы параллельной обработки;;ПК-С1.1. Разработка и реализация архитектуры программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;06.003 Архитектор программного обеспечения;;;;
;2308;ПК-С1.2.1. Формализация и алгоритмизация поставленных задач;;ПК-С1.2. Разработка и сопровождение программных проектов;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2308;ПК-С1.2.2. Проектирование программного обеспечения;;ПК-С1.2. Разработка и сопровождение программных проектов;;Профессиональные компетенции;Профессиональные компетенции;06.001 Программист;;;;
;2308;ПК-С1.3.1. Интеграция и внедрение разработанного программного обеспечения;;ПК-С1.3. Интеграция разработанного программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;06.028 Системный программист;;;;
;2308;ПК-С3.1.1. Способность проводить анализ и строить модели проектов научно-исследовательских и опытно-конструкторских разработок, планировать проведение научно-исследовательских и опытно-конструкторских разработок на всех стадиях жизненного цикла проекта;;ПК-С3.1.Способность к организации и проведению научно-исследовательских разработок и  проектов;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2308;ПК-С3.1.2. Способность обрабатывать научно-техническую информацию, использовать стандарты в области проведения исследований;;ПК-С3.1.Способность к организации и проведению научно-исследовательских разработок и  проектов;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2308;ПК-С3.1.3 Способность к методологическому анализу научного исследования и его результатов;;ПК-С3.1.Способность к организации и проведению научно-исследовательских разработок и  проектов;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2308;ПК-8.1. Владение методами интегрального и дифференциального исчисления одной и нескольких переменных;;ПК-8. Способность понимать, совершенствовать и применять современный математический аппарат;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-8.2. Владение методами теории линейных пространств и операторов;;ПК-8. Способность понимать, совершенствовать и применять современный математический аппарат;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-9.1. Владение базовыми навыками теории графов и алгоритмами на них;;ПК-9. Способность к разработке и применению алгоритмических и программных решений в области системного и прикладного программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-9.2. Владение основами теории вычислимости и оценки сложности алгоритмов;;ПК-9. Способность к разработке и применению алгоритмических и программных решений в области системного и прикладного программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.4.1. Знание и владение современными алгоритмами и структурами данных;;ПК-С1.4. Способность разрабатывать, анализировать, реализовывать и внедрять алгоритмы и структуры данных в рамках разработки системного и прикладного программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.4.2. Способен применять аппарат математической логики, теории типов и абстрактной алгебры для анализа программ и процессов в них;;ПК-С1.4. Способность разрабатывать, анализировать, реализовывать и внедрять алгоритмы и структуры данных в рамках разработки системного и прикладного программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.4.3. Способен разрабатывать программы для численного решения практических задач;;ПК-С1.4. Способность разрабатывать, анализировать, реализовывать и внедрять алгоритмы и структуры данных в рамках разработки системного и прикладного программного обеспечения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.5.1. Способность проектировать и реализовывать программные решения с применением методов функционального, автоматного и эволюционного программирования;;ПК-С1.5. Способность определять эффективный способ решения прикладных задач с применением информационных технологий и программной инженерии, разрабатывать и внедрять соответствующие программные решения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.5.2. Способность проектировать и реализовывать мобильные и web-приложения;;ПК-С1.5. Способность определять эффективный способ решения прикладных задач с применением информационных технологий и программной инженерии, разрабатывать и внедрять соответствующие программные решения;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.6.1. Способен проектировать и реализовывать параллельные и распределенные программные системы;;ПК-С1.6. Способностью проектировать и реализовывать сложные программные системы и комплексы, в том числе высоконагруженные, распределенные и масштабируемые гетерогенные системы;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С1.6.2. Способен применять алгоритмы и структуры данных для эффективной реализации высоконагруженных систем;;ПК-С1.6. Способностью проектировать и реализовывать сложные программные системы и комплексы, в том числе высоконагруженные, распределенные и масштабируемые гетерогенные системы;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С3.2.1 Способен руководить и осуществлять разработку математических моделей и алгоритмов в предметной области;;ПК-С3.2. Способен разрабатывать и применять методы математического моделирования;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2308;ПК-С3.2.2 Способен проводить анализ и оценку границ применения результатов математического моделирования;;ПК-С3.2. Способен разрабатывать и применять методы математического моделирования;;Профессиональные компетенции;Профессиональные компетенции;;;;;
2018 Вычислительные системы и сети;2327;ПК-1.1 Анализирует требования к программному обеспечению;;ПК-1. Способен разрабатывать требования и проектировать программное обеспечение;;Профессиональные компетенции;Профессиональные компетенции;06.001 «Программист»;;;;
;2327;ПК-1.2 Разрабатывает технические спецификации на программные компоненты и их взаимодействие;;ПК-1. Способен разрабатывать требования и проектировать программное обеспечение;;Профессиональные компетенции;Профессиональные компетенции;06.001 «Программист»;;;;
;2327;ПК-1.3 Проектирует программное обеспечение;;ПК-1. Способен разрабатывать требования и проектировать программное обеспечение;;Профессиональные компетенции;Профессиональные компетенции;06.001 «Программист»;;;;
;2327;ПК-2.1 Планирует разработку или восстановление требований к системе ;;ПК-2. Способен осуществлять концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности;;Профессиональные компетенции;Профессиональные компетенции;06.022 «Системный аналитик»  ;;;;
;2327;ПК-2.2 Анализирует проблемные ситуации заинтересованных лиц;;ПК-2. Способен осуществлять концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности;;Профессиональные компетенции;Профессиональные компетенции;06.022 «Системный аналитик»  ;;;;
