ID_ИНДИКАТОРА,КОД_ИНДИКАТОРА,ИМЯ_ИНДИКАТОРА,ID_ОХ,ID_ПЛАНА,ISU_ID_ПЛАНА,ИМЯ_ПЛАНА,РПД_ИД,ИМЯ_РПД
1678,ПК-3.2,Проводит исследования новых рынков,6,7492,22799,Управление высокотехнологичным бизнесом,24187,Основы продуктового подхода
1679,ПК-3.3,Организует работу по разработке и/или развитию высокотехнологичных инновационных продуктов,6,7492,22799,Управление высокотехнологичным бизнесом,24187,Основы продуктового подхода
1672,ПК-2.2,Составляет техническое задание и план работ по реализации высокотехнологичного проекта,6,7492,22799,Управление высокотехнологичным бизнесом,24188,Управление инновационными проектами
1673,ПК-2.3,Выполняет свою роль в команде в рамках реализации высокотехнологичного инновационного проекта,6,7492,22799,Управление высокотехнологичным бизнесом,24188,Управление инновационными проектами
1678,ПК-3.2,Проводит исследования новых рынков,6,7492,22799,Управление высокотехнологичным бизнесом,24187,Основы продуктового подхода
1679,ПК-3.3,Организует работу по разработке и/или развитию высокотехнологичных инновационных продуктов,6,7492,22799,Управление высокотехнологичным бизнесом,24187,Основы продуктового подхода
1672,ПК-2.2,Составляет техническое задание и план работ по реализации высокотехнологичного проекта,6,7492,22799,Управление высокотехнологичным бизнесом,24188,Управление инновационными проектами
1673,ПК-2.3,Выполняет свою роль в команде в рамках реализации высокотехнологичного инновационного проекта,6,7492,22799,Управление высокотехнологичным бизнесом,24188,Управление инновационными проектами
1678,ПК-3.2,Проводит исследования новых рынков,6,7492,22799,Управление высокотехнологичным бизнесом,24187,Основы продуктового подхода
1679,ПК-3.3,Организует работу по разработке и/или развитию высокотехнологичных инновационных продуктов,6,7492,22799,Управление высокотехнологичным бизнесом,24187,Основы продуктового подхода
1672,ПК-2.2,Составляет техническое задание и план работ по реализации высокотехнологичного проекта,6,7492,22799,Управление высокотехнологичным бизнесом,24188,Управление инновационными проектами
1673,ПК-2.3,Выполняет свою роль в команде в рамках реализации высокотехнологичного инновационного проекта,6,7492,22799,Управление высокотехнологичным бизнесом,24188,Управление инновационными проектами
1690,ПК-С2.2,Осуществляет оценку финансовых активов,6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1691,ПК-С2.3,Ведет управленческий и налоговый учет,6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1692,ПК-С2.4,"Управляет корпоративными финансами, разрабатывает финансовый план",6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1693,ПК-С3.1,Управляет эффективностью инвестиционного проекта,6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1694,ПК-С3.2,Осуществляет правовое регулирование инвестиционных и финансовых операций,6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1695,ПК-С3.3,"Управляет рисками инвестиционного проекта, используя инструменты инвестиционного анализа",6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1696,ПК-С3.4,"Управляет сроками и контролирует реализацию инвестиционного проекта, используя инновационное бизнес-моделирование",6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1690,ПК-С2.2,Осуществляет оценку финансовых активов,6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1691,ПК-С2.3,Ведет управленческий и налоговый учет,6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1692,ПК-С2.4,"Управляет корпоративными финансами, разрабатывает финансовый план",6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1693,ПК-С3.1,Управляет эффективностью инвестиционного проекта,6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1694,ПК-С3.2,Осуществляет правовое регулирование инвестиционных и финансовых операций,6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1695,ПК-С3.3,"Управляет рисками инвестиционного проекта, используя инструменты инвестиционного анализа",6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1696,ПК-С3.4,"Управляет сроками и контролирует реализацию инвестиционного проекта, используя инновационное бизнес-моделирование",6,7492,22799,Управление высокотехнологичным бизнесом,24189,Финансовые инструменты
1136,ПК-2.2,Выполняет разработку баз данных информационной системы,15,7354,18458,Программирование и инфокоммуникации,18203,Сетевые протоколы передачи данных
1136,ПК-2.2,Выполняет разработку баз данных информационной системы,250,7137,15861,Инфокоммуникации и цифровые медиа / Infocommunications and digital media,18203,Сетевые протоколы передачи данных
1137,ПК-2.3,Осуществляет кодирование на языках программирования,15,7354,18458,Программирование и инфокоммуникации,18203,Сетевые протоколы передачи данных
1137,ПК-2.3,Осуществляет кодирование на языках программирования,250,7137,15861,Инфокоммуникации и цифровые медиа / Infocommunications and digital media,18203,Сетевые протоколы передачи данных
1139,ПК-2.5,"Выполняет установку и настройку системного и прикладного программного обеспечения, необходимого для функционирования ИС",15,7354,18458,Программирование и инфокоммуникации,18203,Сетевые протоколы передачи данных
1139,ПК-2.5,"Выполняет установку и настройку системного и прикладного программного обеспечения, необходимого для функционирования ИС",250,7137,15861,Инфокоммуникации и цифровые медиа / Infocommunications and digital media,18203,Сетевые протоколы передачи данных
651,ПК-3.1,Разрабатывает программное и аппаратное обеспечение технологий и систем искусственного интеллекта для решения профессиональных задач с учетом требований информационной безопасности в различных предметных областях,15,7354,18458,Программирование и инфокоммуникации,18203,Сетевые протоколы передачи данных
651,ПК-3.1,Разрабатывает программное и аппаратное обеспечение технологий и систем искусственного интеллекта для решения профессиональных задач с учетом требований информационной безопасности в различных предметных областях,230,7134,16083,Проектирование и разработка систем искусственного интеллекта,18203,Сетевые протоколы передачи данных
1134,ПК-4.3,Администрирование средств обеспечения безопасности удаленного доступа (операционных систем и специализированных протоколов),15,7354,18458,Программирование и инфокоммуникации,18203,Сетевые протоколы передачи данных
1134,ПК-4.3,Администрирование средств обеспечения безопасности удаленного доступа (операционных систем и специализированных протоколов),250,7137,15861,Инфокоммуникации и цифровые медиа / Infocommunications and digital media,18203,Сетевые протоколы передачи данных
1136,ПК-2.2,Выполняет разработку баз данных информационной системы,15,7354,18458,Программирование и инфокоммуникации,18203,Сетевые протоколы передачи данных
1136,ПК-2.2,Выполняет разработку баз данных информационной системы,250,7137,15861,Инфокоммуникации и цифровые медиа / Infocommunications and digital media,18203,Сетевые протоколы передачи данных
1137,ПК-2.3,Осуществляет кодирование на языках программирования,15,7354,18458,Программирование и инфокоммуникации,18203,Сетевые протоколы передачи данных
