id,name,value,source,author_id,domain_id
26852,Плоская укладка графа,1,"",,15
26851,Совершенное паросочетание графа,1,"",,15
26850,Наибольшее внутренне устойчивое множество графа,1,"",,15
26849,Организация системы экологического менеджмента и аудита на предприятии,1,"",,25
26848,Международный опыт экологического менеджмента и аудита,1,"",,25
26847,оценка текущей ситуации,1,"",,17
26846,SimaPro software,1,"",,25
26845,"Уметь производить оценку эффективности созданной БМ, а также эффективность инновационных решений в БМ, что может привести к добавленной стоимости и чего никогда не удавалось достичь традиционным цепочкам создания стоимости",1,"",,283
26844,"Понимать, как синхронизируются бизнес-модели со стратегией голубого океана, чтобы получить дополнительную ценность для будущего клиента.",1,"",,283
26843,"Знать основы составления бизнес-моделей для создания прототипов инновационных ""а что если?"" для будущей компании",1,"",,283
26842,"Уметь формулировать ценностное предложение организации в терминах, которые поймет и оценит будущий клиент.",1,"",,283
26841,Уметь определять потребности клиентов и как организация может помочь удовлетворить эти потребности в условиях конкуренцииУметь определять потребности клиентов и как организация может помочь удовлетворить эти потребности в условиях конкуренции,1,"",,283
26840,Fluorescence recovery after photobleaching,1,"",,422
26839,luminescence microscopy,0,"",,422
26838,Optical methods of nanolevel motion studies,1,"",,422
26837,Элементы биомехатронных систем,0,"",,61
26836,Компоненты биомехатронных систем,1,"",,61
26835,Детали биомехатронных систем,0,"",,61
26834,Правила проектирования биомехатронных систем,0,"",,61
26833,Программирование,0,"",,17
26832,Освоение критериев и правил процедур удостоверения и производства высказываний,1,"",,19
26831,Постановка и осмысление собственных исследовательских задач в контексте широкого понимания проблем цифровой культуры,1,"",,19
26830,"Применение новых терминологий, методологий и оптик к собственным проектам в области DH",0,"",,19
26829,"Критический анализ различных текстов, посвященных проблеме техники в культуре",1,"",,19
26828,"Понимание ключевых подходов к правовому регулированию объектов, связанных с цифровой трансформацией.",1,"",,27
26827,Критическое осмысление образовательного опыта,1,"",,19
26826,Умение критиковать существующие образовательные проекты,1,"",,189
26825,Связь антропологии и других наук,0,"",,19
26824,Вычленять границу с культурологией и антропологией,1,"",,31
26823,Метод восстановления люминесценции после фотообесцвечивания,1,"",,413
26822,Представление об оптических методах исследования процессов переноса,1,"",,223
26821,Анализ мифа в научной теории и художественном произведении.,1,"",,19
26820,"Анализ метафор и суждений в тексте, основанном на мифе.",0,"",,19
26819,Формирование взгляда на миф в научной теории и художественном произведении.,1,"",,19
26818,Освоение навыков критического описания внедрения инноваций в организации,1,"",,315
26817,Умение составить методологический инструментарий для проведения исследовательского проекта,1,"",,37
26816,Понимание способов концептуализации организаций как объекта исследования,1,"",,315
26815,Формализация своих исследований под критерии грантов,1,"",,37
26814,Умение давать фидбек,1,"",,37
26813,Умение быстро разбираться в формальный критериях и использовать их для проверки текстов.,1,"",,37
26812,"Ориентирование в поле грантов, умение понимать требования",1,"",,37
26811,Студенты смогут рефлексивнее относится к практикам работы с данными и проектированию алгоритмических систем в различных контекстах,1,"",,315
26810,Студенты смогут лучше понимать проблематику академического поля critical data and algorithm studies и ориентироваться в существующей литературы и значимых авторах,1,"",,315
26809,"Студенты смогут лучше понимать устройство общественных дискуссий о проблемах, связанных с алгоритмами и данными, видеть достоинства и недостатки различных позиций",1,"",,315
26808,"Студенты научатся критически подходить к алгоритмизации и датафикации как социальным процессам – их причинам, протеканию и последствиям",1,"",,315
26807,"Применять теории, методы и подходы из социальных исследований технологий для анализа культурных проектов",1,"",,315
26806,Различать способы совершить научный вклад в ту или иную дискуссию в социальных исследованиях технологий,1,"",,315
26805,"Различать между целями, задачами, предметом, исследовательским вопросом в исследовательской практике и текстах",1,"",,315
26804,"Выстраивать связи между теоретической и методологической частями исследований – как в своих работах, так и в чужих",1,"",,315
26803,Создавать внутренне целостные и непротиворечивые концептуально-аналитические схемы,1,"",,315
26802,Анализировать явные и неявные концептуальные ходы в текстах классиков и современных исследователей,1,"",,315
26801,Освоение навыков критического описания культурной институции,1,"",,31
26800,Ориентация в основных исследовательских подходов к анализу культурных институций и ее составляющих,1,"",,31
26799,Понимание исторических и региональных предпосылок появления культурных институций,1,"",,31
26798,проверка результатов исследвания,2,"",,56
26797,Strength engineering analysis,1,"",,17
26796,Creating a 3-D model of an assembly unit,1,"",,17
26795,Creating a 3-D model of a part from a sketch,1,"",,17
26794,Сreation of design documentation,1,"",,17
26793,Mechanical drawing,1,"",,17
26792,Подходы медиаархеологии,1,"",,19
26791,Structure-Property Correlation of Compounds,1,"",,24
26790,Structure Modeling,0,"",,24
26789,Theory of chemical structure,1,"",,24
26788,"Корреляция ""структура-своства"" соединений",1,"",,24
26787,Chemistry Soft,1,"",,24
26786,Genomics in agriculture and industry,1,"",,21
26785,Genomic data management and analysis,1,"",,21
26784,Ethical and social implications of genomics research,1,"",,21
26783,Techniques and technologies used in genomics research,1,"",,21
26782,Genetic testing,1,"",,21
26781,Innovative Technologies,0,"",,40
26780,Alternative methods of radio navigation,0,"",,20
26779,Tracking signals,0,"",,11
26778,Anatomy,2,"",,21
26777,Development of project documentation,1,"",,37
26776,Research organisation,1,"",,37
26775,Search for grants and projects relevant to the research topic,1,"",,37
26774,Choice and justification of a research topic,1,"",,37
26773,Planning a science experiment,1,"",,37
26772,Searching and analysing scientific information,1,"",,37
26771,Продуктовая команда,1,"",,17
26770,Визуальный контент,1,"",,17
26769,Разработка проектной документации,1,"",,37
26768,"Поиск грантов и проектов, соответствующих теме исследования",1,"",,37
26767,Выбор и обоснование темы научного исследования,1,"",,37
26766,Планирование научного эксперимента,1,"",,37
26765,Поиск и анализ научной информации,1,"",,37
26764,"Знать методы формирования и реализации стратегии управления интеллектуальной собственностью, основанные на результатах патентных исследований",1,"",,283
26763,Навыки проведения патентных исследований для выявления мировых тенденций развития техники и технологий,1,"",,283
26762,Производить оценку современных достижений науки с использованием результатов патентных исследований,1,"",,283
26761,Современные проблемы создания и использования результатов интеллектуальной деятельности,1,"",,283
26760,"ability to perceive the intercultural diversity of society and the historical originality of science in the socio-historical, ethical and philosophical contexts",1,"",,19
26759,to reasonably express one’s own position on classical and topical problems of the philosophy of science,1,"",,19
26758,as well as an ability to analyze humanitarian problems in scientific research,1,"",,19
26757,formation of a systematic critical mindset,1,"",,19
26756,willingness to share the values of the academic community,1,"",,19
26755,aptitude at applying a scientific approach in one’s professional activities,1,"",,19
26754,Инноватика,1,"",,283
26753,English for academic purposes,1,"",,26
26752,written English,1,"",,26
26751,spoken English,1,"",,26
26750,Tracking signals,1,"",,77
26749,Information security technologies,0,"",,401
26748,Студенты умеют итеративно работать над улучшением прототипов,1,"",,283
26747,Студенты могут формулировать продуктовые гипотезы и создавать прототип на их основе,1,"",,283
26746,Safe Programming Practices,0,"",,401
26745,Студенты могут построить CJM,1,"",,283
26744,Студенты разбираются в фреймворке CustDev,1,"",,283
26743,Normative and methodological support of information security,0,"",,401
26742,Principles of building an information security system,0,"",,401
26741,"Студенты понимают карьерный путь менеджера продуктов, могут выбрать подходящий им",1,"",,283
26740,"Студенты понимают взаимосвязь дискавери и деливери, умеют проконтролировать передачу результатов между ними",1,"",,283
26739,"Студенты понимают суть продуктового подхода, понимают его применимость и ограничения, могут выбрать правильный подход",1,"",,283
26738,Студенты понимают содержание роли менеджера продуктов,1,"",,283
26737,Момент инерции. Прецессия. Гироскопы,1,"",,20
26736,Гармонические и ангармонические колебания,1,"",,20
26735,Законы Кеплера,1,"",,20
26734,механика Ньютона,0,"",,31
26733,Механика Ньютона,1,"",,20
26732,разработка стратегии достижения поставленной цели,0,"",,19
26731,определять приоритеты деятельности,0,"",,19
26730,осуществление сбора и анализа информации о решаемой проблеме,0,"",,61
26729,Ensuring compliance with the code of professional ethics,0,"",,37
26728,"Compilation of scientific reviews, abstracts and bibliographies, preparation of scientific and scientific-technical publications about ongoing research",0,"",,17
26727,"Study of new scientific results, scientific literature, or research projects in the field of applied mathematics and informatics in accordance with the subject of ongoing research",0,"",,17
26726,"Development and application of modern high-performance computing technologies, use of modern supercomputers in ongoing research",0,"",,17
26725,Research of systems by methods of mathematical forecasting and system analysis,0,"",,17
26724,"Construction of mathematical models and their study by analytical methods, development of algorithms, methods, software, tools about ongoing research projects",0,"",,17
26723,"Able to independently acquire, develop and apply mathematical, natural science, socio-economic, general engineering knowledge and knowledge in the field of cognitive sciences to solve basic, non-standard tasks of creating and applying artificial intelligence, including in a new or unfamiliar environment and in an interdisciplinary context",0,"",,37
26722,Able to develop original algorithms and software using modern intelligent computer technologies for solving problems in the field of creation and application of artificial intelligence,0,"",,37
26721,"Able to use the methods of scientific research and mathematical modeling in the field of design and management of artificial intelligence systems, including universal artificial intelligence",0,"",,37
26720,"Able to organize the process of making, justifying and evaluating the effectiveness of managerial and (or) strategic decisions in the professional field, taking into account economic, financial, environmental, social, intellectual property and other restrictions",0,"",,37
26719,Создание продуктовой концепции,1,"",,40
26718,Критический анализ медиатехнологий,1,"",,19
26717,Основы блокчейна,1,"",,17
26716,Схема Pub/Sub,1,"",,17
26715,Product Approach,1,"",,40
26714,Навык работы с научной литературой по когнитивной психологии,1,"",,29
26713,Умение применять основные принципы познания при работе с текстами и эмпирическими данными,1,"",,29
26712,Знание теоретических подходов к изучению познавательных процессов,1,"",,29
26711,Знание основных понятий когнитивной психологии,1,"",,29
26710,Протокол RPC,1,"",,17
26709,Ability to select and update business models.,1,"",,283
26708,Understanding the principles of risk and uncertainty management.,1,"",,283
26707,Development of critical thinking and analysis skills.,1,"",,283
26706,Skills for coordinating goals between key stakeholders of the organization.,1,"",,283
26705,Ability to analyze the external and internal business environment.,1,"",,283
26704,Understanding of strategic thinking and principles of strategy formation in business.,1,"",,283
26703,Financial management,1,"",,283
26702,Investment analysis,1,"",,283
26701,General management,1,"",,283
26700,Стратегическое мышление,1,"",,40
26699,Инвестиционный анализ,1,"",,40
26698,Общий менеджмент,1,"",,40
26697,Управление парниковыми газами,1,"",,25
26696,Развитие научно-технического воображения,1,"",,19
26695,Рисковый менеджмент,1,"",,40
26694,Продуктовый менеджмент,1,"",,40
26693,Экономика (эконометрика),1,"",,40
26692,Fact-checking skills,0,"",,37
26691,Presentation of scientific research results,0,"",,37
26690,Scientific reporting skills,0,"",,37
26689,Scientific database skills,0,"",,37
26688,Ability to organize information,0,"",,37
26687,Ability to find and analyze information,0,"",,37
26686,Навык формирования финансового результата организации,1,"",,40
26685,Умение вычислять и описывать издержки предприятия и себестоимость продукции,1,"",,40
26684,Знание устройства имущественного комплекса организации как объекта управления,1,"",,40
26683,Умение выявлять современные проблемы экономического функционирования предприятия,1,"",,40
26682,Умение выбирать и обновлять бизнес-модели,3,"",,283
26681,Понимание принципов управления рисками и неопределенностью,2,"",,283
26680,Развитие критического мышления и навыков анализа,5,"",,283
26679,Навыки согласования целей между ключевыми стейкхолдерами организации,1,"",,283
26678,Умение проводить анализ внешней и внутренней среды бизнеса,4,"",,283
26677,Понимание стратегического мышления и принципов формирования стратегий в бизнесе,4,"",,283
26676,Основы бухгалтерского учета,1,"",,40
26675,Сетевая ИТ инфраструктура,1,"",,17
26674,Системы управления предприятием,0,"",,17
