id;description
2679;Математический анализ - один из основных разделов математики наряду с алгеброй и геометрией. Предметом изучения математического анализа является функция переменной величины, которая, как математическая модель, используется для описания множества естественных и технических процессов. Целью освоения учебной дисциплины является создание теоретических основ, позволяющих в дальнейшем осваивать другие дисциплины математического и естественнонаучного, а также профессионального циклов, способствующих формированию общекультурных и профессиональных компетенций, необходимых для осуществления научно-исследовательской, проектной и педагогической деятельности.
2680;Дисциплина направлена на формирование математической и информационной культуры у студентов, привитие понимания универсального характера дискретных структур данных, понимания роли и места дискретной математики в системе наук, а также развитие абстрактного мышления, общей математической и информационной культуры мышления.
2881;Дисциплина познакомит слушателей с UX/UI-прототипированием, теорией близости и модульности, целеориентированным проектированием. Для того, чтобы правильно спроектировать интерфейс необходимо индентифицировать цели пользователей.
3117;В курсе дисциплины даются основные понятия и определения, рассматриваются основы автоматизации технологических и производственных процессов, приводится описание средств автоматизации и области их применения.
3250;В первой части курса рассматриваются фундаментальные понятия теории вероятностей, а именно: аксиомы вероятности, независимость, теорема Байеса, случайные величины и распределения, числовые характеристики случайных величин и предельные теоремы теории. Во второй части курса обучающиеся познакомятся с описательной статистикой, точечными и интервальными методами оценивания параметров, проверкой статистических гипотез. В результате освоения курса обучающиеся сформируют фундамент для освоения смежных дисциплин и приложений теории вероятностей и математической статистики
3310;"Дисциплина знакомит студентов с современными оптико-цифровыми системами (ОЦС), принципами комплексного научного подхода к проектированию и эксплуатации ОЦС специального назначения с учетом перспектив их развития и модернизации. Обучающиеся знакомятся современными достижениями в области оптико-цифровых и, в том числе, видеоинформационных технологий. Дисциплина нацелена на формирование  творческого  подхода у обучающихся при  реализации  задач по проектированию и эксплуатации ОЦС; умений реализовывать  перспективные линии  профессионального саморазвития  с  учетом инновационных  тенденций  развития оптико-электронного приборостроения."
3326;Дисциплина даёт представление о состояние современных тепловизионных системах, теоретических основах и физических процессах происходящих в них, а также о законах формирования и распространения теплового излучения, используемые оптические материалы и элементную базу инфракрасных систем, теоретические основы функционирования инфракрасных систем, закономерности преобразования инфракрасного излучения оптическими элементами тепловизионных систем, схемы современных тепловизионных систем.
3617;Изучение основ статической биохимии и основ молекулярной биологии
4238;"Дисциплина направлена на формирование у обучающихся знаний о принципах функционирования основных структурных элементов, особенностях конструкции и элементной базы оптико-электронных приборов и систем (ОЭПиС). Рассматриваются теоретические вопросы преобразования детерминированных и случайных полей излучения в средах распространения, оптических системах и анализаторах изображения; методы описания преобразования сигнала и шума в фотоприемном устройстве и электронном тракте ОЭП. Обучающиеся приобретают умения использовать теорию статистических решений для определения основных характеристик ОЭПиС; учатся формировать оптимальные алгоритмы обработки смеси сигнала с помехой;  осуществлять обоснованный выбор направления исследований в области современного оптико-электронного приборостроения.
Лабораторный практикум нацелен на приобретение обучающимися навыков применения соответствующего физико-математический аппарата для формализации вопросов профессиональной деятельности, оптимизации параметров решающих правил в задачах обнаружения, распознавания и оценки параметров объектов наблюдения в оптико-электронных системах. Компетенции, сформированные в результате освоения данной дисциплины, будут способствовать реализации студентами принципов оптико-электронного приборостроения и видеоинформатики при проектировании современных оптико-электронных систем в своей профессиональные деятельности."
4239;"Дисциплина направлена на формирование у обучающихся знаний принципов построения измерительных оптико-электронных приборов и систем активного типа, основных принципов теории информации для описания и анализа преобразования измеряемых параметров в системах, основ статистической теории обнаружения оптических сигналов и оценки их параметров. В ходе освоения дисциплины у студентов вырабатываются умения выбирать оптимальную структуру обнаружителя измерительного оптико-электронного прибора активного типа (оптического локатора); формулировать требования к типовым элементам систем в соответствии с техническим заданием, применять  творческий  подход при  решении  задач обнаружения и измерительных задач; использовать математические модели преобразования информации в оптических и электронных каналах прибора, формулировать требования к источнику и приемнику оптического излучения.Практические и лабораторные занятия способствуют закреплению навыков поиска  решения  научно-технической задачи на  основании  обработки и анализа результатов взаимодействия оптического излучения и оптических систем измерительных приборов, применения  методики определения отражательных характеристик объектов, а также методики энергетического и точностного расчетов активных измерительных оптико-электронных приборов и систем."
4240;"Дисциплина нацелена на формирование у обучающихся знания принципов и методик проведения светотехнических расчетов и исследований.
На основе анализа параметров осветительных приборов и структуры освещаемого пространства у студентов формируются умения в области проектирования искусственного освещения различных объектов, приобретаются навыки расчета освещенности от источников оптического излучения различной геометрии и конфигурации. Рассматриваются критерии выбора схемы и состава светотехнического оборудования для проведения фотометрических измерений. Осваиваются расчетные методики для обработки результатов фотометрических измерений с использованием компьютерных технологий как общего назначения, так и специализированных."
4243;В курсе рассматриваются теоретические основы и методики расчета цветовых координат и координат цветности излучения источника, физиологические основы зрения. Изучаются основные термины и определения колориметрии и принципы построения цветовых пространств, правила проведения расчета цветовой температуры (и коррелированной цветовой температуры) и индекса цветопередачи источника излучения.
4244;В курсе рассмотрены классические методы и алгоритмы обработки цифровых изображений. В рамках дисциплины студент получит знания базового математического аппарата работы над цифровым изображением, освоит методы фильтрации изображений, геометрических преобразований. Научится выполнять морфологический анализ, решать задачи по сегментированию и распознаванию. Применять полученные знания студент будет в среде Matlab.
4245;В курсе изучаются свойства оптического излучения при прохождении его через различные оптические среды, включая рассеивающие среды, атмосферу, в том числе при наличии в ней турбулентности.
4246;Курс посвящен оптическим и оптико-электронным системам, используемым в различных видах производств и промышленного контроля, рассматриваются основы теории автоматического управления, автоматизированных систем управления технологическим процессом.
4247;В курсе рассматриваются теоретические основы и методики расчета цветовых координат и координат цветности излучения источника, физиологические основы зрения. Изучаются основные термины и определения колориметрии и принципы построения цветовых пространств, правила проведения расчета цветовой температуры (и коррелированной цветовой температуры) и индекса цветопередачи источника излучения.
4249;В курсе изучаются свойства оптического излучения при прохождении его через различные оптические среды, включая рассеивающие среды, атмосферу, в том числе при наличии в ней турбулентности.
4250;Курс посвящен оптическим и оптико-электронным системам, используемым в различных видах производств и промышленного контроля, рассматриваются основы теории автоматического управления, автоматизированных систем управления технологическим процессом.
4393;"Освоение дисциплины «Коллоидная химия»
позволит  сформировать базовые знания о фундаментальных законах,
закономерностях и основных физико-химических методах, систематизировать теоретические знания по химии, глубже понять
явления природы, механизмы химических и физико-химических процессов,
протекающих в природе и живых организмах, принципы химической
технологии и пути модификации существующих технологий."
4400;целью дисциплины является формирование у обучающихся комплексного представления о молекулярных механизмах хранения, реализации и использования генетической информации в про- и эукариотических клетках и получения информации обо всех потенциальных свойствах клетки, которые не реализуются на данный момент для усвоения в будущем фундаментальных и прикладных направлений в биологии. Дать четкое понятие отличий генетики, геномики и генной инженерии.
